areas
| 40 - 51 | Dhuuston          - Subterranean Spire
| 40 - 51 | Neajess           - Temple of Qhabiszan
|   All   | Rahsael/Ishuli    - The Shadow Peak Pass
| 25 - 45 | Rarywey           - Aubade
|   All   | Ishuli            - Saurian Village
| 20 - 51 | Thaedan           - Workshop of the Master Enchanter
| 30 - 51 | Whildur           - Evergrove Outpost
| 20 - 40 | Rahsael           - The Buried Battlefield
| 25 - 45 | Ishuli            - Goblin Outpost
| 10 - 51 | Verathi           - Aturi Timberlands
| 15 - 35 | Drehir            - Dhumlar-Ko
|   All   | Nythos            - Targeth's Manor
| 15 - 35 | Destuvius         - The Forgotten Island
| 20 - 30 | Ysaloerye         - The Ancient Plain Stones
|   All   | Nreykre           - The Frozen Gorge
| 10 - 51 | Nnaeshuk          - Enpolad's Game Garden
| 35 - 50 | Malakhi           - Eil Shaeria
|   All   | Laurella          - Darsylon
|  1 - 30 | Laurella          - The Vale of Arendyl
| 40 - 51 | Fjarn             - Abandoned Siege Encampment
|   All   | Corrlaan          - The Arena
| 10 - 51 | Strienat          - Ancient Emerald Forest
|  5 - 20 | Yean              - Udgaardian Plains
| 15 - 40 | Farigno           - Khardrath's Planar Sanctum
| 11 - 51 | Aarn/Rayihn       - The Consortium
| 35 - 51 | Thrak/Sebeok/Kast - High Lord's Keep
|  1 - 5  | Crellan           - The Academy
|   All   | Crysseara         - The Seaport of Hamsah Mu'tazz
| 40 - 51 | Nimbus/Corrlaan   - Lower Cragstone
| 10 - 51 | Twist             - Forest of NoWhere
|   All   | Desmonn Kinnt     - Upper Cragstone
| 10 - 51 | Justin            - The Sea of Despair
| 30 - 51 | Justin            - The Coral Head
|   All   | Bria/Ysaloerye    - Northern Foothills
| 25 - 40 | Galadriel         - The Plains of Arendyl
| 15 - 40 | Muuloc            - Coven of Dralkar Wood
| 15 - 30 | Dreaa             - Mansion of Twilight
| 10 - 45 | Andrlos/Thrak     - Loch Terradian
|  1 - 15 | Choranek          - Amaranthian Forest
| 40 - 51 | Phaelim           - Ruins of Maethien
|  6 - 30 | Grurk             - Forgotten Crypts
| 11 - 25 | Soucivi           - Keep of the Fhalaugash
| 20 - 40 | Sevarecan         - Ruins of Delar-Tol
| 11 - 51 | Quezzumpliet      - The Fields of Balator
